Category,Reference,Text
Hope,Jeremiah 29:11,"For I know the plans I have for you,� declares the Lord , �plans to prosper you and not to harm you, plans to give you hope and a future. Read full chapter Cross references Jeremiah 29:11 : Ps 40:5 Jeremiah 29:11 : Isa 55:12 Jeremiah 29:11 : S Job 8:7; Zec 8:15 Jeremiah 29:11 in all English translations"
Hope,Romans 15:13,"May the God of hope fill you with all joy and peace as you trust in him, so that you may overflow with hope by the power of the Holy Spirit. Read full chapter Cross references Romans 15:13 : Ro 14:17 Romans 15:13 : ver 19; 1Co 2:4; 4:20; 1Th 1:5 Romans 15:13 in all English translations"
Hope,Isaiah 40:31,"but those who hope in the Lord will renew their strength. They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint. Read full chapter Cross references Isaiah 40:31 : S Ps 37:9; 40:1; S Isa 30:18; Lk 18:1 Isaiah 40:31 : S 1Sa 2:4; S 2Ki 6:33; S 2Co 4:16 Isaiah 40:31 : S Ex 19:4 Isaiah 40:31 : 2Co 4:1; Heb 12:1-3 Isaiah 40:31 in all English translations"
Hope,Lamentations 3:22-23,"Because of the Lord �s great love we are not consumed, for his compassions never fail. They are new every morning; great is your faithfulness. Read full chapter Cross references Lamentations 3:22 : S Ps 103:11 Lamentations 3:22 : S Job 34:15; S Hos 11:9 Lamentations 3:22 : Ps 78:38; 130:7 Lamentations 3:23 : S Ex 34:6; Zep 3:5"
Hope,Psalm 33:18,"But the eyes of the Lord are on those who fear him, on those whose hope is in his unfailing love, Read full chapter Cross references Psalm 33:18 : S Ex 3:16; S Ps 11:4; 1Pe 3:12 Psalm 33:18 : S Ps 6:4 Psalm 33:18 in all English translations"
Hope,Proverbs 23:18,"There is surely a future hope for you, and your hope will not be cut off. Read full chapter Cross references Proverbs 23:18 : S Ps 9:18; 37:1-4; Pr 24:14, 19-20 Proverbs 23:18 in all English translations"
Hope,Romans 8:24-25,"For in this hope we were saved. But hope that is seen is no hope at all. Who hopes for what they already have? But if we hope for what we do not yet have, we wait for it patiently. Read full chapter Cross references Romans 8:24 : 1Th 5:8; Tit 3:7 Romans 8:24 : S 2Co 4:18 Romans 8:25 : Ps 37:7"
Hope,Hebrews 10:23,"Let us hold unswervingly to the hope we profess, for he who promised is faithful. Read full chapter Cross references Hebrews 10:23 : S Heb 3:6 Hebrews 10:23 : S Heb 3:1 Hebrews 10:23 : S 1Co 1:9 Hebrews 10:23 in all English translations"
Hope,Psalm 130:5,"I wait for the Lord , my whole being waits, and in his word I put my hope. Read full chapter Cross references Psalm 130:5 : S Ps 27:14; Isa 8:17; 26:8; 30:18; 49:23 Psalm 130:5 : S Ps 5:3 Psalm 130:5 : S Ps 119:74 Psalm 130:5 in all English translations"
Hope,Titus 2:13,"while we wait for the blessed hope�the appearing of the glory of our great God and Savior, Jesus Christ, Read full chapter Cross references Titus 2:13 : S 1Co 1:7; S 1Ti 6:14 Titus 2:13 : 2Pe 1:1 Titus 2:13 in all English translations"
